sentence_id, overwritten_json_id, csv_text
368, None
679, None
680,874358
683, None
769, None
770, 874436
771, None
772, None
773, None
774, None
775, 874437
796, None
875, None, "Oh!"
914, None, "Anakin--"

978, None
979, None
980, None
981, None
982, None
983, None
984, None
985, None
986, None
987, None
988, None
989, None
990, 874608
1194, None
1198, None
1200, None, "Oh!"
1204, None
1210, None
1213, None
1215, 874791;874792, "I'm so confused"
1342, None, "Padme!"
1364, None, "Go in slowly on the left!"
1389, None, "Anakin!"

